date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:46:14	96381/96381	---MCZ	200	added ('OK')	application/javascript	etag:W/%2296381-1622130183000%22	https://publ.maillist-manage.com/js/jquery-1.11.0.min.js	C:/Lucky%20Sweeps/njilndz/publ.maillist-manage.com/js/jquery-1.11.0.min.js	(from https://www.internetcafe.games/)
23:46:14	7199/7199	---MCZ	200	added ('OK')	application/javascript	etag:W/%227199-1622130183000%22	https://publ.maillist-manage.com/js/jquery-migrate-1.2.1.min.js	C:/Lucky%20Sweeps/njilndz/publ.maillist-manage.com/js/jquery-migrate-1.2.1.min.js	(from https://www.internetcafe.games/)
23:46:15	228701/228701	---MCZ	200	added ('OK')	application/javascript	etag:W/%22228701-1622130183000%22	https://publ.maillist-manage.com/js/jquery-ui-1.10.4.custom.min.js	C:/Lucky%20Sweeps/njilndz/publ.maillist-manage.com/js/jquery-ui-1.10.4.custom.min.js	(from https://www.internetcafe.games/)
23:46:15	46309/46309	---MCZ	200	added ('OK')	application/javascript	etag:W/%2246309-1622130183000%22	https://publ.maillist-manage.com/js/optin_min.js	C:/Lucky%20Sweeps/njilndz/publ.maillist-manage.com/js/optin_min.js	(from https://www.internetcafe.games/)
23:46:16	0/0	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20May%202021%2003:46:16%20GMT	https://www.internetcafe.games/popular-games	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/popular-games.18.delayed	(from https://www.internetcafe.games/)
23:46:16	25050/25050	---M--	200	added ('OK')	image/png	etag:%22f717a4c38949395f54aab4d15da7edae%22	https://image7.zibster.com/8841/12_20210115161236_10880244_large.png	C:/Lucky%20Sweeps/njilndz/image7.zibster.com/8841/12_20210115161236_10880244_large.png	(from https://www.internetcafe.games/)
23:46:16	0/-1	---M--	301	error ('')			https://www.internetcafe.games/popular-games	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/popular-games.1a.delayed	(from https://www.internetcafe.games/contact-us)
23:46:17	50997/50997	---M--	200	added ('OK')	image/jpeg	etag:%228d2dc266e8e0ea47de1a056a7f1ab1a8%22	https://image9.zibster.com/8584/12_20210105192147_10870332_large.jpg	C:/Lucky%20Sweeps/njilndz/image9.zibster.com/8584/12_20210105192147_10870332_large.jpg	(from https://www.internetcafe.games/gaming-systems)
23:46:17	117/117	---M--	429	error ('Too%20Many%20Requests')	text/html		https://www.internetcafe.games/go-to-spin	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/go-to-spin.1c.delayed	(from https://www.internetcafe.games/gaming-systems)
23:46:18	21011/21011	---M--	200	added ('OK')	image/png	etag:%22aa71def8a1cff9e48c2346480f0c0f0e%22	https://image8.zibster.com/8585/12_20210129095643_10893422_large.png	C:/Lucky%20Sweeps/njilndz/image8.zibster.com/8585/12_20210129095643_10893422_large.png	(from https://www.internetcafe.games/gaming-systems)
23:46:19	49065/49065	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20May%202021%2003:46:20%20GMT	https://www.internetcafe.games/vpower	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/vpower.html	(from https://www.internetcafe.games/gaming-systems)
23:46:19	81319/81319	---M--	200	added ('OK')	image/png	etag:%22254fd1e844fa3e6f805bc55b47fd6526%22	https://image3.zibster.com/8929/12_20201231105953_10866284_large.png	C:/Lucky%20Sweeps/njilndz/image3.zibster.com/8929/12_20201231105953_10866284_large.png	(from https://www.internetcafe.games/gaming-systems)
23:46:20	52817/52817	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20May%202021%2003:46:21%20GMT	https://www.internetcafe.games/xgame	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/xgame.html	(from https://www.internetcafe.games/gaming-systems)
23:46:21	126719/126719	---M--	200	added ('OK')	image/png	etag:%22e8a776edf3f894b06a6132b914575ee2%22	https://image14.zibster.com/10152/12_20210430084512_10983937_large.png	C:/Lucky%20Sweeps/njilndz/image14.zibster.com/10152/12_20210430084512_10983937_large.png	(from https://www.internetcafe.games/gaming-systems)
23:46:22	117/117	---M--	429	error ('Too%20Many%20Requests')	text/html		https://www.internetcafe.games/ultra-monster	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/ultra-monster.22.delayed	(from https://www.internetcafe.games/gaming-systems)
23:46:23	326901/326901	---M--	200	added ('OK')	image/png	etag:%2210367d352c97f9e075ccb5ba7f1d2ccd%22	https://image5.zibster.com/8930/12_20210511153037_11007564_xlarge.png	C:/Lucky%20Sweeps/njilndz/image5.zibster.com/8930/12_20210511153037_11007564_xlarge.png	(from https://www.internetcafe.games/gaming-systems)
23:46:24	52769/52769	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20May%202021%2003:46:24%20GMT	https://www.internetcafe.games/blue-dragon	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/blue-dragon.html	(from https://www.internetcafe.games/gaming-systems)
23:46:24	205564/205564	---M--	200	added ('OK')	image/png	etag:%22b54bf2f3c05a0035030243a5a3f3deb5%22	https://image12.zibster.com/6748/12_20210512082536_11008034_large.png	C:/Lucky%20Sweeps/njilndz/image12.zibster.com/6748/12_20210512082536_11008034_large.png	(from https://www.internetcafe.games/gaming-systems)
23:46:25	117/117	---M--	429	error ('Too%20Many%20Requests')	text/html		https://www.internetcafe.games/royal-eagle	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/royal-eagle.26.delayed	(from https://www.internetcafe.games/gaming-systems)
23:46:25	53266/53266	---M--	200	added ('OK')	image/png	etag:%22b9dcb8e29b14073d7342da4b6cfbbc22%22	https://image9.zibster.com/8584/12_20210407170218_10955499_large.png	C:/Lucky%20Sweeps/njilndz/image9.zibster.com/8584/12_20210407170218_10955499_large.png	(from https://www.internetcafe.games/gaming-systems)
23:46:26	48608/48608	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20May%202021%2003:46:27%20GMT	https://www.internetcafe.games/grand-x	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/grand-x.html	(from https://www.internetcafe.games/gaming-systems)
23:46:27	132190/132190	---M--	200	added ('OK')	image/png	etag:%223ecff35d413de1f43d47c13893d45b8c%22	https://image4.zibster.com/8911/12_20210104144107_10869380_xlarge.png	C:/Lucky%20Sweeps/njilndz/image4.zibster.com/8911/12_20210104144107_10869380_xlarge.png	(from https://www.internetcafe.games/gaming-systems)
23:46:27	117/117	---M--	429	error ('Too%20Many%20Requests')	text/html		https://www.internetcafe.games/tiger-is-home	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/tiger-is-home.2a.delayed	(from https://www.internetcafe.games/gaming-systems)
23:46:28	18673/18673	---M--	200	added ('OK')	image/jpeg	etag:%220425bc2aa46c17ffa2d87f574c27a1eb%22	https://image14.zibster.com/10308/12_20210414150650_10962865_large.jpg	C:/Lucky%20Sweeps/njilndz/image14.zibster.com/10308/12_20210414150650_10962865_large.jpg	(from https://www.internetcafe.games/gaming-systems)
23:46:28	117/117	---M--	429	error ('Too%20Many%20Requests')	text/html		https://www.internetcafe.games/skillmine	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/skillmine.2c.delayed	(from https://www.internetcafe.games/gaming-systems)
23:46:28	35176/35176	---M--	200	added ('OK')	image/jpeg	etag:%220e6adfea3b0d46027a70e3d6cfe49dc6%22	https://image4.zibster.com/8911/12_20201230125449_10866015_large.jpg	C:/Lucky%20Sweeps/njilndz/image4.zibster.com/8911/12_20201230125449_10866015_large.jpg	(from https://www.internetcafe.games/gaming-systems)
23:46:29	9182/9182	---M--	200	added ('OK')	image/png	etag:%22da30f1bd6cfd1b529c76abc224a6be3e%22	https://image8.zibster.com/8585/12_20210121232933_10887498_large.png	C:/Lucky%20Sweeps/njilndz/image8.zibster.com/8585/12_20210121232933_10887498_large.png	(from https://www.internetcafe.games/gaming-systems)
23:46:30	117/117	---M--	429	error ('Too%20Many%20Requests')	text/html		https://www.internetcafe.games/phantom-soft	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/phantom-soft.2f.delayed	(from https://www.internetcafe.games/gaming-systems)
23:46:31	1365/1365	---M--	200	added ('OK')	image/png	etag:%228f58b41a04e4ad88f4119ddd294a7271%22	https://image7.zibster.com/8912/12_20210129081422_10893388_large.png	C:/Lucky%20Sweeps/njilndz/image7.zibster.com/8912/12_20210129081422_10893388_large.png	(from https://www.internetcafe.games/gaming-systems)
23:46:31	117/117	---M--	429	error ('Too%20Many%20Requests')	text/html		https://www.internetcafe.games/Fire-Kirin	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/Fire-Kirin.31.delayed	(from https://www.internetcafe.games/gaming-systems)
23:46:32	109735/109735	---M--	200	added ('OK')	image/png	etag:%22862dfba36a1f16bfa04b1fbb2402c8d1%22	https://image3.zibster.com/8934/12_20210105192535_10870334_large.png	C:/Lucky%20Sweeps/njilndz/image3.zibster.com/8934/12_20210105192535_10870334_large.png	(from https://www.internetcafe.games/gaming-systems)
23:46:33	408567/408567	---M--	200	added ('OK')	image/png	etag:%22bce060e0c7feb94a1980c7421c00ef04%22	https://image10.zibster.com/8583/12_20201230093313_10865928_xlarge.png	C:/Lucky%20Sweeps/njilndz/image10.zibster.com/8583/12_20201230093313_10865928_xlarge.png	(from https://www.internetcafe.games/gaming-systems)
23:46:33	117/117	---M--	429	error ('Too%20Many%20Requests')	text/html		https://www.internetcafe.games/fortune-2-go	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/fortune-2-go.34.delayed	(from https://www.internetcafe.games/gaming-systems)
23:46:34	79037/79037	---M--	200	added ('OK')	image/png	etag:%225203f660e8af585697bde33056cb61be%22	https://image10.zibster.com/8495/12_20210105113829_10870191_large.png	C:/Lucky%20Sweeps/njilndz/image10.zibster.com/8495/12_20210105113829_10870191_large.png	(from https://www.internetcafe.games/gaming-systems)
23:46:34	249841/249841	---M--	200	added ('OK')	image/jpeg	etag:%225310a588c90fa5bbf39bc6fddb56ba10%22	https://image7.zibster.com/8841/12_20201231110259_10866325_large.jpg	C:/Lucky%20Sweeps/njilndz/image7.zibster.com/8841/12_20201231110259_10866325_large.jpg	(from https://www.internetcafe.games/gaming-systems)
23:46:35	117/117	---M--	429	error ('Too%20Many%20Requests')	text/html		https://www.internetcafe.games/vegas-x	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/vegas-x.37.delayed	(from https://www.internetcafe.games/gaming-systems)
23:46:36	49543/49543	---M--	200	added ('OK')	image/png	etag:%22bed01a2a1fd9dc9243cd2b35d129141f%22	https://image9.zibster.com/8584/12_20210105190539_10870331_large.png	C:/Lucky%20Sweeps/njilndz/image9.zibster.com/8584/12_20210105190539_10870331_large.png	(from https://www.internetcafe.games/gaming-systems)
23:46:37	117/117	---M--	429	error ('Too%20Many%20Requests')	text/html		https://www.internetcafe.games/vegas-7	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/vegas-7.39.delayed	(from https://www.internetcafe.games/gaming-systems)
23:46:38	10751/10751	---M--	200	added ('OK')	image/png	etag:%223bdea16c173d8566adeb6cfc18b85e94%22	https://image6.zibster.com/8896/12_20210128135510_10893164_large.png	C:/Lucky%20Sweeps/njilndz/image6.zibster.com/8896/12_20210128135510_10893164_large.png	(from https://www.internetcafe.games/gaming-systems)
23:46:39	117/117	---M--	429	error ('Too%20Many%20Requests')	text/html		https://www.internetcafe.games/orion-stars	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/orion-stars.3b.delayed	(from https://www.internetcafe.games/gaming-systems)
23:46:40	0/-1	---M--	301	error ('')			https://www.internetcafe.games/popular-games	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/popular-games.3d.delayed	(from https://www.internetcafe.games/gaming-systems)
23:46:40	0/-1	---M--	301	error ('')			https://www.internetcafe.games/popular-games	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/popular-games.3e.delayed	(from https://www.internetcafe.games/riversweeps)
23:46:40	0/-1	---M--	301	error ('')			https://www.internetcafe.games/popular-games	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/popular-games.3f.delayed	(from https://www.internetcafe.games/river-monster)
23:46:40	130822/130822	---M--	200	added ('OK')	image/jpeg	etag:%22a770e84b83a5b780362d66e5700f1110%22	https://image12.zibster.com/7732/12_20210201091154_10898948_large.jpg	C:/Lucky%20Sweeps/njilndz/image12.zibster.com/7732/12_20210201091154_10898948_large.jpg	(from https://www.internetcafe.games/gaming-systems)
23:46:41	410566/410566	---M--	200	added ('OK')	image/jpeg	etag:%2273b5411208d088c66d95ba870cfe74cc%22	https://image10.zibster.com/8543/12_20210107153430_10872691_xlarge.jpg	C:/Lucky%20Sweeps/njilndz/image10.zibster.com/8543/12_20210107153430_10872691_xlarge.jpg	(from https://www.internetcafe.games/payments)
23:46:41	744425/744425	---M--	200	added ('OK')	image/jpeg	etag:%220a7d811ef0fdac561e98760baadcef9e%22	https://image7.zibster.com/8894/12_20210107142558_10872439_xlarge.jpg	C:/Lucky%20Sweeps/njilndz/image7.zibster.com/8894/12_20210107142558_10872439_xlarge.jpg	(from https://www.internetcafe.games/payments)
23:46:42	0/-1	---M--	301	error ('')			https://www.internetcafe.games/popular-games	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/popular-games.43.delayed	(from https://www.internetcafe.games/payments)
23:46:42	0/-1	---M--	301	error ('')			https://www.internetcafe.games/popular-games	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/popular-games.44.delayed	(from https://www.internetcafe.games/vpower)
23:46:42	0/-1	---M--	301	error ('')			https://www.internetcafe.games/popular-games	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/popular-games.45.delayed	(from https://www.internetcafe.games/xgame)
23:46:42	0/-1	---M--	301	error ('')			https://www.internetcafe.games/popular-games	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/popular-games.46.delayed	(from https://www.internetcafe.games/blue-dragon)
23:46:42	0/-1	---M--	301	error ('')			https://www.internetcafe.games/popular-games	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/popular-games.47.delayed	(from https://www.internetcafe.games/grand-x)
23:46:42	526452/526452	---M--	200	added ('OK')	image/jpeg	etag:%22359b9415df37b321ee742bf4f5685e9c%22	https://image7.zibster.com/8841/12_20210107142413_10872436_xlarge.jpg	C:/Lucky%20Sweeps/njilndz/image7.zibster.com/8841/12_20210107142413_10872436_xlarge.jpg	(from https://www.internetcafe.games/payments)
